stairr.thisTrialN,stairr.stepSize,stairr.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,stairr.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
28,0.5,1.0,45.126102400012314,45.60947200001101,45.60947200001101,45.626720700005535,45.90945579999243,1,0.3971229000017047,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
29,0.5,1.0,46.02635369999916,46.509543599997414,46.509543599997414,46.526371099986136,46.809314099984476,1,0.5360766999947373,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
30,0.5,1.0,47.07633390001138,47.559329599986086,47.559329599986086,47.57650029999786,47.85927640000591,1,0.5459537999995518,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
31,0.5,1.0,48.12653939999291,48.609260500001255,48.609260500001255,48.625592500000494,48.90901840000879,1,0.3894121999910567,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
32,0.5,1.0,49.02612019999651,49.50945789998514,49.50945789998514,49.52622619998874,49.8090680000023,0,0.4837567999784369,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
33,0.5,1.5,50.00947650001035,50.50937690000865,50.50937690000865,50.50937690000865,50.80911860000924,1,0.6553029000060633,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
34,0.5,1.5,51.192680899985135,51.67564729999867,51.67564729999867,51.69251530000474,51.97587460000068,1,0.702558900025906,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
35,0.5,1.5,52.408968300005654,52.892763000010746,52.892763000010746,52.90890149999177,53.19252429998596,1,0.3936397999932524,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
36,0.5,1.0,53.30941789998906,53.79254719999153,53.79254719999153,53.809573900012765,54.092168600007426,1,0.4016161000181455,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
37,0.5,1.0,54.22545609998633,54.709131599985994,54.709131599985994,54.72642709998763,55.009113000007346,1,0.41204039999865927,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
38,0.5,1.0,55.14229069999419,55.62587280001026,55.62587280001026,55.64216230000602,55.925613300001714,1,0.45002930000191554,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
39,0.5,1.0,56.09214200000861,56.59200159998727,56.59200159998727,56.59200159998727,56.89267259999178,1,0.4232747000060044,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
40,0.5,1.0,57.042631199990865,57.525996599986684,57.525996599986684,57.54231129999971,57.82572210000944,1,0.5300245999824256,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
41,0.5,1.0,58.076000900007784,58.55903119998402,58.55903119998402,58.57601029999205,58.85931369999889,1,0.5377881999884266,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
42,0.5,1.0,59.12584250001237,59.62567360000685,59.62567360000685,59.62567360000685,59.92557190000662,1,0.3659867999958806,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
43,0.5,1.0,60.009577099990565,60.49240479999571,60.49240479999571,60.50872489999165,60.79225410000072,1,0.5693979999923613,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
44,0.5,1.0,61.0926468000107,61.57582739999634,61.57582739999634,61.592467200011015,61.87531840000884,1,0.6039336000103503,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
45,0.5,1.0,62.208890400012024,62.70872950000921,62.70872950000921,62.70872950000921,63.009272299997974,1,0.39210880000609905,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
46,0.5,1.0,63.12582129999646,63.60920279999846,63.60920279999846,63.6259221000073,63.90891689999262,1,0.43934350000927225,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
47,0.5,1.0,64.07534300000407,64.55929060000926,64.55929060000926,64.57571750000352,64.85890920000384,0,0.3389309000049252,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
48,0.5,1.5,64.92520550001063,65.4088638999965,65.4088638999965,65.42515550000826,65.70864289999008,0,1.3436312999983784,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
49,0.5,2.0,66.77566939999815,67.2586844000034,67.2586844000034,67.27548129999195,67.55828570001177,1,0.5409283999761101,715807,001,2023-09-01_11h54.18.414,Staicase,2023.1.3,59.85318014599545,
